Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Sales,Receptionist,,"26,000.00",0.00,,Florida,Tampa,2-4 years,1 year or less,College degree,Woman,White
45-54,Health care,IT Architect,,"162,000.00","25,000.00",,Texas,Austin,31-40 years,21-30 years,College degree,Man,Asian or Asian American
35-44,Computing or Tech,Solutions Architect,,"133,000.00","18,000.00",,Colorado,Denver,11-20 years,11-20 years,Some college,Man,White
35-44,Social Work,Clinician,,"57,000.00",100.00,,Massachusetts,Boston,8-10 years,5-7 years,Master's degree,Man,White
35-44,Recruitment or HR,Talent operations associate,I work in a support center for HR issues,"51,000.00","4,000.00",,Texas,Plano,5-7 years,1 year or less,College degree,Woman,Asian or Asian American
25-34,Computing or Tech,Senior Data Scientist,,"175,000.00",,,New York,New York,5-7 years,2-4 years,PhD,Man,White
35-44,Business or Consulting,Senior Editor,Environmental Consulting is the industry,"76,668.00","3,000.00",,California,Sacramento,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Ecology,Field Technician II,Field ecologists managing a team of 10,"54,000.00",,,Colorado,Boulder,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Law,Associate,,"125,000.00","10,000.00",,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
25-34,Health care,Clinical manager,,"102,000.00","5,000.00",,Massachusetts,Boston,8-10 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Software Engineer 2 Lead,I do both technical work and manage an employee,"93,000.00","10,000.00",Bonus is dependent on components performance and my performance,Massachusetts,Boston,8-10 years,2-4 years,Master's degree,Woman,White
45-54,Computing or Tech,Program Manager III,Like a project manager but with a portfolio of projects,"136,000.00",,contractor,Colorado,Denver Metro Area,11-20 years,8-10 years,College degree,Woman,"Black or African American, Middle Eastern or Northern African, Native American or Alaska Native, White"
25-34,Computing or Tech,Software Engineer,,"72,000.00",0.00,,California,Sacramento,5-7 years,1 year or less,College degree,Non-binary,White
25-34,Computing or Tech,Software Engineer,,"127,500.00",,,California,San Francisco,5-7 years,1 year or less,College degree,Woman,Asian or Asian American
25-34,Veterinary,Medical Clinic Director,Veterinary technician managing the medical program for the local humane society,"47,000.00",,,Vermont,South Burlington,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Program Manager,,"90,410.00",,,California,Oakland,11-20 years,11-20 years,College degree,Woman,White
35-44,Law,Assistant Public Defender,,"80,000.00",0.00,,Georgia,Douglasville,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
25-34,Education (Higher Education),Coordinator of Academic Support Services,,"49,060.00",0.00,,Nebraska,Kearney,5-7 years,5-7 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing Analyst,,"52,000.00",0.00,,Florida,Orlando,5-7 years,5-7 years,Master's degree,Man,White
25-34,Biotech / Research,Principal Research Associate,,"100,000.00","10,000.00",Also receive stock options and grants as additional compensation and retention bonuses,Massachusetts,Boston,8-10 years,8-10 years,Master's degree,Man,White
25-34,Nonprofits,Program Assistant,,"42,000.00","1,000.00",,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Senior Program Manager,,"120,000.00",0.00,,District of Columbia,Washington,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Property or Construction,Project Manager,,"85,000.00",,,California,Berkeley,2-4 years,2-4 years,College degree,Woman,White
18-24,Computing or Tech,Technical Support Specialist II,,"45,000.00",0.00,,Oklahoma,Oklahoma,5-7 years,5-7 years,College degree,Man,White
45-54,"Accounting, Banking & Finance",Registered client services Associate,,"43,000.00","3,000.00",,Virginia,Richmond,5-7 years,2-4 years,College degree,Woman,White
45-54,Computing or Tech,Senior Software Engineer,,"138,000.00",0.00,,Massachusetts,Cambridge,21-30 years,21-30 years,Master's degree,Man,White
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,,"65,000.00",0.00,,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
35-44,Engineering or Manufacturing,Research fellow (lab/field technician),,"42,000.00",0.00,,Massachusetts,Amherst,21-30 years,11-20 years,College degree,Woman,White
35-44,Sales,Sales Account Manager,,"80,000.00","5,000.00",,California,Torrance,21-30 years,5-7 years,College degree,Woman,Black or African American
25-34,Education (Higher Education),Executive Staff Assistant,,"63,750.00",0.00,,Wisconsin,Madison,5-7 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Interlibrary Loan Coordinator,"library staff, not official librarian","45,000.00",0.00,,New York,New York,5-7 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),"Director, Alumni Relations",,"88,000.00",,,Utah,Salt Lake,21-30 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,"Product Owner: Data, Reporting, & Analytics",,"102,550.00","25,000.00",,Texas,Austin,8-10 years,8-10 years,High School,Woman,White
25-34,Nonprofits,"Senior associate, annual giving",Digital fundraising and individual giving,"72,800.00",,,District of Columbia,Washington,5-7 years,2-4 years,College degree,Woman,White
45-54,Education (Higher Education),Associate dean,,"150,000.00",0.00,,Texas,San Antonio,21-30 years,21-30 years,PhD,Woman,White
35-44,Health care,Data Engineer,,"110,000.00","11,000.00",,Pennsylvania,Philadelphia,5-7 years,2-4 years,High School,Man,White
55-64,Nonprofits,Executive Director,,"111,000.00",,,Connecticut,Hartford,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Education (Higher Education),Administrative Specialist,,"40,040.00",,,Maine,Waterville,11-20 years,8-10 years,Master's degree,Woman,White
18-24,Sales,SDR,,"60,000.00","20,000.00",,California,San Francisco,2-4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Nonprofits,Director of Leadership and Talent Development Programs,,"85,000.00","8,500.00",,Massachusetts,Boston,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Nonprofits,Grants Manager,,"67,000.00",0.00,,California,Los Angeles County,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Business or Consulting,"Senior Consultant, Strategy and Analytics","Senior Consultant is the standard title for newly minted MBAs or holders of other graduate degrees at my firm. You can become an SC by starting as an analyst and working your way up for 4-5 years, but most people either come in with an MBA or leave to get one and then come back, because it's hard to get to manager level without one. As an SC, I am responsible for managing a workstream (usually yourself and a few analysts) as part of a larger project. I don't do any business development.","160,000.00","25,000.00","My income level is a standardized figure for all MBA campus hires at my company and was non-negotiable. Our bonuses are up to 25% of salary, depending on firm and personal performance in any given year.",Texas,Houston,8-10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Social Work,LICSW,Hospital Social Work,"72,000.00",0.00,,Massachusetts,Boston,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Software Engineer,,"126,000.00","10,000.00",,New York,New York,5-7 years,2-4 years,College degree,Woman,White
35-44,Health care,Medical coder,"I am permanently remote; work in one state, live in another.","60,000.00",0.00,,Oregon,Portland,21-30 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Nonprofits,Communications & Marketing Manager,,"70,000.00","5,000.00",,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White
25-34,Recruitment or HR,Technical Recruiter,,"260,000.00",0.00,"I work in recruitment consulting so I don't get equity or benefits, just cash. I worked in SF startups previously and made ~350k/yr including equity, but that wasn't liquid at the time (company had successful exit). My current job allows for part time work so I get paid hourly at $125/hour.",California,San Francisco,8-10 years,8-10 years,College degree,Woman,White
25-34,Education (Higher Education),Assistant Professor,Tenure track,"77,000.00",,,Pennsylvania,Bethlehem,5-7 years,5-7 years,PhD,Woman,White
35-44,Science,Lab Director,,"160,000.00",0.00,,Virginia,Alexandria,21-30 years,21-30 years,PhD,Woman,White
35-44,Nonprofits,Director of Digital Learning,I develop elearning and mobile learning,"93,000.00",,,Georgia,Atlanta,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Education (Higher Education),PhD Student,,"40,000.00",0.00,,Indiana,South Bend,2-4 years,2-4 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Client Administrator,,"45,000.00","3,000.00",,South Carolina,Greenville,5-7 years,2-4 years,College degree,Woman,White
25-34,Media & Digital,Staff engineer,"Software engineer, mostly web stuff","155,000.00",0.00,,District of Columbia,See Above,8-10 years,8-10 years,College degree,Woman,Another option not listed here or prefer not to answer
18-24,Research,Research technician,,"30,000.00",,,North Carolina,Durham,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
25-34,Social Work,Care manager,"Private company, private pay clients, very small but well established","53,000.00","1,000.00","We get a lot of gift cards and other random ""thank you"" gifts, as well as a holiday bonus.",Maryland,DC Metro Area,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Education (Higher Education),Associate Director,,"95,000.00",0.00,,Massachusetts,Boston,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,,"47,255.00",0.00,,Indiana,Lafayette,31-40 years,21-30 years,Some college,Woman,White
35-44,Computing or Tech,Senior Operations Manager,,"81,300.00","14,600.00",Bonus contingent on company and personal performance,New York,New York,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Chief Marketing and Development Officer,,"120,000.00","10,000.00",,Nevada,Las Vegas,11-20 years,8-10 years,College degree,Man,White
35-44,Insurance,Title Officer,I research property title in anticipation of issuing title insurance,"55,000.00","10,000.00",,Oregon,Portland,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Engineering or Manufacturing,Principal systems engineer,,"160,000.00",0.00,,Colorado,Boulder,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Health care,Practice Administrator,,"69,000.00","5,000.00",,Pennsylvania,Bethlehem,11-20 years,5-7 years,Master's degree,Woman,White
55-64,Engineering or Manufacturing,Accounting manager,Also handle payroll and HR,"70,000.00","10,000.00",,Texas,Houston,31-40 years,11-20 years,Some college,Woman,White
25-34,Engineering or Manufacturing,Environmental Project Manager,,"56,000.00","2,000.00",,Virginia,Roanoke,5-7 years,5-7 years,College degree,Man,White
35-44,Computing or Tech,SRE,,"130,000.00",,,Kentucky,Louisville,11-20 years,5-7 years,Master's degree,Man,White
35-44,Computing or Tech,Accounting manager,,"115,000.00","15,000.00",,California,San Francisco,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Software Developer II,,"90,000.00","4,000.00",,Ohio,Cleveland,8-10 years,8-10 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
25-34,Government and Public Administration,Senior Counsel,,"113,300.00",0.00,,New York,New York,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
55-64,Engineering or Manufacturing,Sr. Human Resources Business Partner/VP,,"185,000.00","28,000.00",,Florida,Tampa,41 years or more,21-30 years,College degree,Man,White
45-54,Retail,Barista,,"29,000.00","3,000.00",,Wyoming,Laramie,21-30 years,2-4 years,Master's degree,Woman,White
45-54,Computing or Tech,Front-End Developer,,"135,000.00",,,Massachusetts,Andover,21-30 years,21-30 years,Some college,Man,White
25-34,Media & Digital,Marketing and Sales Assistant,at a university press,"35,000.00",0.00,,Texas,Austin,11-20 years,11-20 years,College degree,Woman,White
25-34,Law,Paralegal,,"45,760.00","1,000.00",,Washington,Seattle,8-10 years,1 year or less,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing & Communications Manager,,"43,000.00",0.00,,North Carolina,Greensboro,5-7 years,2-4 years,College degree,Woman,White
45-54,Computing or Tech,Associate Network Engineer,,"78,078.00","1,300.00",,Washington,Seattle,21-30 years,2-4 years,College degree,Man,White
25-34,Computing or Tech,Software Developer,,"100,000.00","10,000.00",,Ohio,Columbus,2-4 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Senior director of individual giving,,"130,000.00",,,District of Columbia,Washington,11-20 years,8-10 years,Master's degree,Woman,White
45-54,Government and Public Administration,Library Assistant,Public library assistant managet,"25,000.00",0.00,,Virginia,Mechanicsville,11-20 years,8-10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Process Manager,,"80,000.00",,,Virginia,Richmond,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Government and Public Administration,Senior Analyst,,"114,000.00",,,Texas,Dallas,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Agriculture or Forestry,CSR,,"29,808.00",,,Virginia,Glen Allen,5-7 years,2-4 years,College degree,Non-binary,Native American or Alaska Native
35-44,"Accounting, Banking & Finance",Administrative Assistant,,"92,500.00","12,000.00",,New York,New York,11-20 years,8-10 years,College degree,Woman,White
35-44,Hospitality & Events,Account Executive,,"110,000.00","20,000.00",,Washington,Seattle,21-30 years,11-20 years,Some college,Man,White
25-34,Media & Digital,Production Coordinator for Film & TV,"I'm a freelance worker, and I charge a daily rate of ~$400/12-hour work day. I somewhat control my income, because I only make as much as I work.","75,000.00",0.00,,New York,New York,5-7 years,2-4 years,College degree,Woman,Black
45-54,Nonprofits,non-profit adult training,,"52,000.00",0.00,,Alaska,Anchorage,11-20 years,2-4 years,College degree,Woman,White
65 or over,Nonprofits,Parish Organist & Publications Manager,"I'm the church organist, and I also prepare all the weekly service booklets for a medium-sized church (the booklets include everything for a service: prayers, readings, hymns with their tunes, etc.). All kinds of other stuff as needed, too.","27,340.00",600.00,"Additional income comes from weddings, funerals, special services for which I'm the organist.",Arizona,Tucson,41 years or more,41 years or more,Master's degree,Man,White
35-44,Media & Digital,Executive Producer - Events and Content,,"76,000.00",0.00,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
35-44,Education (Primary/Secondary),teacher,,"53,000.00",0.00,,Indiana,Rural,11-20 years,11-20 years,PhD,Woman,White
35-44,Preclinical Research,Manager,,"82,000.00",0.00,,Minnesota,Minneapolis,21-30 years,11-20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Value stream manager,Manufacturing operations manager,"123,000.00","12,000.00",,Indiana,Fort Wayne,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior UX Designer,I design software,"143,000.00",0.00,,Massachusetts,Andover,11-20 years,11-20 years,Master's degree,Man,White
45-54,Computing or Tech,Engineer,,"98,000.00","3,000.00",,Texas,Austin,21-30 years,21-30 years,College degree,Woman,White
18-24,Agriculture or Forestry,Research assistant,,"50,000.00",,,North Carolina,Durham,2-4 years,2-4 years,College degree,Woman,White
35-44,Transport or Logistics,Air Export Supervisor,,"65,000.00","1,500.00",,Illinois,Chicago,8-10 years,8-10 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Digital Marketing and Analytics Manager,,"120,000.00","12,000.00",,New York,New York,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Education (Higher Education),Study Coordinator,,"57,000.00",0.00,,Alaska,Fairbanks,8-10 years,2-4 years,Master's degree,Non-binary,White
45-54,Computing or Tech,Lead Software Engineer,,"144,000.00",,,North Carolina,Pittsboro,21-30 years,21-30 years,Master's degree,Man,White
25-34,Computing or Tech,Solution Architect,,"90,000.00",,,Massachusetts,Boston,2-4 years,5-7 years,College degree,Man,White
35-44,Education (Primary/Secondary),School Counselor,,"46,000.00",0.00,,Idaho,Ammon,11-20 years,5-7 years,Master's degree,Woman,White
35-44,Law,Legal Assistant,"I do a mix of paralegal and secretarial work, so my position is somewhere in the middle of the two.","36,100.00",600.00,,Virginia,Richmond,11-20 years,2-4 years,Master's degree,Woman,White
25-34,Education (Higher Education),Assistant professor,"Tenure track, no tenure yet","90,000.00",0.00,,North Carolina,Charlotte,2-4 years,2-4 years,PhD,Woman,White
35-44,Engineering or Manufacturing,Spacecraft Systems Engineer,,"134,000.00",,,Maryland,Greenbelt,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Nonprofits,Catechetical Leader,,"41,000.00",,,Ohio,Paulding,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Software Engineering Manager,,"235,000.00",,,California,San Francisco,11-20 years,11-20 years,College degree,Man,White
35-44,Museum,Director of Operations,,"87,000.00",0.00,,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Pharmaceutical R&D,Senior scientist,,"119,000.00","10,000.00",,Illinois,Chicago,1 year or less,1 year or less,PhD,Woman,Asian or Asian American
45-54,IT MSP,Office manager,,"60,000.00",0.00,,Connecticut,Essex,21-30 years,11-20 years,Some college,Woman,White
25-34,Computing or Tech,Product Manager,,"150,000.00","35,000.00",,Washington,Seattle,11-20 years,5-7 years,Master's degree,Man,White
35-44,Education (Higher Education),Associate Director of Human Resources,,"63,400.00",0.00,,Iowa,Iowa,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,"Accounting, Banking & Finance",Vice Presidenti and Corporate Counsel,(in-house attorney),"252,000.00","80,000.00",I also receive an equity grant,Pennsylvania,Philadelphia,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,"Marketing, Advertising & PR",Copywritier,,"62,000.00",,,California,Los Angeles,2-4 years,2-4 years,College degree,Woman,White
45-54,"Architecture, Engineering, Construction",Director Of Technology,"Managing all software and hardware technology used one Engineers and Architects to generate design solutions, and to produce documentation. Different an IT that manages data, network, communication, and cyber security","150,000.00","7,000.00",,North Carolina,Raleigh Durham,11-20 years,8-10 years,Master's degree,Man,Asian or Asian American
18-24,Computing or Tech,Data analyst,,"110,700.00",,,Washington,Seattle,2-4 years,2-4 years,College degree,Woman,White
25-34,Art & Design,Interior Design,,"50,000.00",,,Florida,Tamp,2-4 years,2-4 years,Master's degree,Woman,Non-Hispanic White
25-34,Research,Research Associate,,"58,500.00",0.00,,North Carolina,Pinehurst,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education (Higher Education),Assistant Program Director,I am an assistant program director of an academic graduate program at a top us university.,"74,000.00",0.00,,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Pet care industry (dog training/walking),Operations Manager,"Scheduling, managing a small team, day to day client interactions, other admin tasks","48,500.00",,,Massachusetts,Boston,5-7 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Engineering or Manufacturing,Engineering Manager,,"80,000.00","1,000.00",,California,Redding,8-10 years,8-10 years,Master's degree,Woman,White
55-64,"Accounting, Banking & Finance",A/P Accountant,,"71,000.00",,,Washington,Seattle,41 years or more,41 years or more,High School,Woman,White
45-54,Government and Public Administration,Medical Officer,,"180,000.00",,,District of Columbia,Washington,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,Black or African American
35-44,Entertainment,Producer,Like a project manager for game developers,"140,000.00",,,Washington,Seattle,11-20 years,5-7 years,Some college,Woman,White
25-34,Computing or Tech,software engineer,,"95,680.00",,,California,Redlands,2-4 years,2-4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
35-44,"Accounting, Banking & Finance",Analyst,,"65,300.00","2,500.00",,Texas,Houston,8-10 years,2-4 years,College degree,Woman,Black or African American
25-34,Law,Legal Assistant,,"69,000.00","10,000.00",,Illinois,Chicago,5-7 years,2-4 years,College degree,Woman,White
25-34,Agriculture or Forestry,County Extension agent,,"42,000.00","1,200.00",,Arkansas,Benton,11-20 years,2-4 years,Master's degree,Woman,White
55-64,Education (Higher Education),Administrative Coordinator,I am an administrative assistant and also do everything financial and technical for the program I support.,"68,000.00",0.00,,New Jersey,Princeton,21-30 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Science Program Specialist,I'm a manager-equivalent creative specialist in charge of a museum makerspace.,"35,000.00",0.00,,Florida,Orlando,5-7 years,5-7 years,College degree,Woman,White
35-44,Recruitment or HR,Training Consultant,,"54,500.00",,,Michigan,Detroit,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Computing or Tech,Product Management Leader,,"243,000.00","150,000.00",,New York,New York,8-10 years,2-4 years,Master's degree,Woman,White
45-54,Computing or Tech,Senior Software Engineer,,"500,000.00",,,California,San Jose,21-30 years,21-30 years,Master's degree,Woman,White
45-54,Art & Design,Design Director,,"108,000.00",,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Director of Content,,"120,000.00","88,200.00",Additional income is RSus so value varies. Amount is current market rate.,Illinois,Chicago,8-10 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Systems Engineer,,"140,000.00",,,New Jersey,Clifton,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Media & Digital,Branded Content Editor,,"71,000.00",0.00,,New York,New York,5-7 years,5-7 years,College degree,Woman,White
45-54,"Marketing, Advertising & PR",Growth Marketing Manager,"Lead generation, paid advertising, SEO, social media","95,000.00",0.00,,North Carolina,Cary,11-20 years,11-20 years,College degree,Woman,White
35-44,Recruitment or HR,HR Generalist,,"74,098.00",0.00,,Virginia,Herndon Va,11-20 years,8-10 years,College degree,Woman,White
45-54,Retail,Merchandising,,"27,000.00",200.00,,Florida,Deerfield Beach,21-30 years,11-20 years,High School,Man,White
25-34,Nonprofits,EA to the Chief Development Officer,,"74,000.00",0.00,,District of Columbia,Washington,8-10 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Engineering or Manufacturing,Sales Controller,,"100,000.00","15,000.00",,Wisconsin,Milwaukee,11-20 years,8-10 years,College degree,Man,White
35-44,Insurance,Licensing specialist,,"48,000.00","3,000.00",,Pennsylvania,Philadelphia,8-10 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Site Reliability Engineer,,"205,499.00","220,000.00",,Washington,Seattle,5-7 years,5-7 years,College degree,Man,White
25-34,Insurance,Business Development & Service Manager,,"48,000.00","15,000.00",,Virginia,Richmond,8-10 years,5-7 years,Master's degree,Woman,White
55-64,Health care,Corporate counsel,in house attorney for healthcare provider,"140,000.00","10,000.00",,Colorado,Denver,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Manufacturing,Customer Service Manager,,"65,000.00","2,000.00",,Indiana,Indianapolis,21-30 years,21-30 years,College degree,Woman,White
35-44,Media & Digital,Production Editor,,"55,000.00",0.00,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Music,Artist Manager,,"65,000.00","2,000.00",,Texas,Austin,11-20 years,8-10 years,College degree,Man,White
35-44,Engineering or Manufacturing,Sales operations manager,,"65,000.00","5,000.00",,New Jersey,Danbury Ct,11-20 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,program manager,,"48,600.00",,,Texas,Houston,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
25-34,"Accounting, Banking & Finance",Financial Services Associate,Customer Service/Teller hybrid,"38,480.00","2,000.00",,Florida,Miami,8-10 years,5-7 years,College degree,Woman,Black or African American
35-44,Computing or Tech,Software Engineer,,"129,000.00","25,000.00",,New York,New York,8-10 years,2-4 years,Some college,Man,"Middle Eastern or Northern African, White, Another option not listed here or prefer not to answer"
25-34,Computing or Tech,IT Project Manager,Healthcare IT,"206,000.00","25,000.00",,Wisconsin,Madison,8-10 years,8-10 years,College degree,Woman,White
35-44,Sales,Key account manager,,"81,500.00","31,500.00",,Massachusetts,Boston,11-20 years,2-4 years,Master's degree,Woman,White
25-34,Government and Public Administration,Contact Representative,,"37,954.00",,,Pennsylvania,Philadelphia,2-4 years,1 year or less,Some college,Woman,Black or African American
35-44,Renewable energy,People Operations Coordinator,,"64,750.00","3,500.00",,California,San Francisco,11-20 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White"
35-44,Health care,Clinical Auditor,,"65,000.00",,,Washington,Spokane,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Compliance manager,,"100,000.00","10,000.00",,North Carolina,Charlotte,11-20 years,5-7 years,College degree,Woman,White
18-24,Engineering or Manufacturing,Software Engineer,IT in a manufacturing company,"86,000.00","2,600.00",,Michigan,Se Michigan,2-4 years,2-4 years,College degree,Other or prefer not to answer,Asian or Asian American
25-34,Analytical lab,Shipping and sample prep,,"30,368.00",0.00,,Missouri,Undisclosed,8-10 years,1 year or less,College degree,Woman,White
25-34,Publishing,Acquisitions Editor,,"66,000.00","6,000.00",,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Retail,Senior product manager,,"145,000.00","50,000.00",,Arkansas,Bentonville,8-10 years,2-4 years,Master's degree,Woman,Asian or Asian American
45-54,"Accounting, Banking & Finance",Accounting Clerk,,"34,632.00",0.00,,New York,Buffalo,21-30 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,CRM Analyst,Salesforce administrator,"87,550.00",,,New York,New York,8-10 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Development Director,,"62,500.00",350.00,,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Health care,Pharmacist,,"105,000.00","2,000.00",,Alabama,Montgomery,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Supply Chain,"Assistant Vice President, Purchasing",,"150,000.00","20,000.00",Bonus is not fixed - it is dependent on meeting Corporate Goals,Massachusetts,Taunton,31-40 years,21-30 years,College degree,Woman,White
35-44,Publishing,Project Editor,Editor of scholarly books at nonprofit publisher,"43,000.00",,,New Jersey,Princeton,5-7 years,1 year or less,PhD,Woman,White
25-34,Computing or Tech,Finance Analyst,,"115,000.00","11,500.00",,Washington,Seattle,5-7 years,2-4 years,College degree,Man,White
35-44,Government and Public Administration,Maintenance Supervisor,Aerospace Ground Equipment,"95,368.00","3,000.00",,Alaska,Anchorage,21-30 years,11-20 years,College degree,Man,White
35-44,Property or Construction,Executive Assistant,,"57,500.00",,,California,Pinole,11-20 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Scientist,I’m a federal employee. We get generic titles based on our job code.,"134,708.00",0.00,Federal pay bands and locality pay are available at opm.gov,Virginia,Dahlgren,11-20 years,11-20 years,Master's degree,Man,White
35-44,Veterinary,Veterinary technician supervisor,,"68,640.00",,,New York,Brewster,11-20 years,5-7 years,College degree,Woman,White
25-34,Media & Digital,Associate Editor,,"73,500.00","2,000.00",,New York,New York,8-10 years,8-10 years,College degree,Man,White
45-54,Health care,VP,Product VP,"180,000.00","10,000.00",Still in start up mode so minimal bonus,Minnesota,Twin Cities,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior Embedded Software Engineer,,"128,000.00",,,Minnesota,Minneapolis,11-20 years,11-20 years,Master's degree,Man,White
25-34,Art & Design,Architectural Designer,,"57,000.00","4,000.00",,Massachusetts,Boston,2-4 years,2-4 years,Master's degree,Woman,White
45-54,"Marketing, Advertising & PR",Dir of Marketing,,"165,000.00","30,000.00",,Massachusetts,Boston,21-30 years,11-20 years,College degree,Man,White
25-34,Health care,Clinical Trial Associate,,"78,000.00",,,California,San Francisco,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Computing or Tech,IT Manager,,"90,000.00","4,000.00",,New Hampshire,Manchester,21-30 years,21-30 years,Some college,Man,White
35-44,Education (Primary/Secondary),Teacher and school administrator,,"138,000.00","3,000.00",,New York,New York,11-20 years,11-20 years,PhD,Woman,White
25-34,Nonprofits,Head of Outreach and Community Experience,Community Librarian/Head of Adult Programs,"64,000.00",0.00,"Salaries vary wildly by state. In a role one step down in AR, I made $21k. I now live in MA. An equivalent role in AR to my current one in MA averages $35k.",Massachusetts,Framingham,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Nonprofits,Research Manager,,"72,500.00",0.00,,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Law,Partner,,"101,000.00","10,000.00",,Ohio,Cincinnati,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
